Noncampuscrime060708[1,2,3].csv
Jefferson School of Nursing,Main Campus,1600 West 40th
John Brown University,Main Campus,2000 W UNIVERSITY ST
Lees School of Cosmetology,Main Campus,2700 W. PERSHING BLVD
Career Academy of Hair Design,Career Academy of Hair Design,346 E Robinson Ave
Marsha Kay Beauty College,MARSHA KAY BEAUTY COLLEGE,408 HWY 201 N
Mellies Beauty College,Mellies Beauty College,311 S 16TH ST
Mid-South Community College,Main Campus,2000 W.  BROADWAY
Arkansas Northeastern College,Main Campus,2501 S DIVISION
Arkansas Northeastern College,Leachville Center,103 North Main Street
Arkansas Northeastern College,Osceola Center,2868 West Semmes Street
Arkansas Northeastern College,Crisp Center,4123 East Highway 18
Arkansas Northeastern College,Moore Center,500 West Chickasawba
Arkansas Northeastern College,Burdette Center,Interstate 55
Arkansas Northeastern College,Paragould Center,1032 W. Kingshighway         PO Box 458
Margarets Hair Academy Inc,Main Campus,305 East Gaines Street
New Tyler Barber College Inc,Main Campus,1221 E 7TH ST
North Arkansas College,Main Campus,1515 PIONEER DR.
Northwest Technical Institute,Main Campus,709 S OLD MISSOURI RD
Ouachita Baptist University,Main Campus,410 OUACHITA ST
Ouachita Technical College,Main Campus,ONE COLLEGE CIR
Ozarka College,Main Campus,218 COLLEGE DR
University of the Ozarks,Main Campus,415 N COLLEGE AVE
University of Arkansas Community College-Morrilton,Main Campus,1537 University Blvd.
Philander Smith College,Philander Smith College,One Trudie Kibbie Reed Drive
Phillips Community College of the University of Arkansas,Main Campus,1000 CAMPUS DR
Phillips Community College of the University of Arkansas,Phillips Comm Coll,Stuttgart
Phillips Community College of the University of Arkansas,Phillips Comm Coll,Dewitt
Southeast Arkansas College,Main Campus,1900 HAZEL ST
Professional Cosmetology Education Center,Main Campus,460 N Washington Ave
Pulaski Technical College,Main Campus,3000 W SCENIC DR
University of Arkansas Community College-Hope,Main Campus,2500 S MAIN
Rich Mountain Community College,Main Campus,1100 COLLEGE DR
Fayetteville Beauty College,Main Campus,2167 W. martin Luther king blvd.
Searcy Beauty College Inc,SEARCY BEAUTY COLLEGE,INC.
