Noncampuscrime060708[1,2,3,4].csv
Patsy and Robs Academy of Beauty,St. Ann Campus,18 NORTHWEST PLAZA,ST ANN
Carolina Beauty College 4,Main Campus,4901B North Tryon Street,CHARLOTTE
Concorde School of Hair Design-Bloomfield,Bloomfield,15 WARD STREET,BLOOMFIELD
Southwest Technology Center,Main Campus,711 W TAMARACK RD,ALTUS
Western Area Career and Technology Center,Main Campus,688 WESTERN AVE,CANONSBURG
Draughons Junior College,Clarksville Campus,1860 WILMA RUDOLPH BLVD,CLARKSVILLE
Nossi College of Art,Main Campus,907 Rivergate PKY BLDG E6,GOODLETTSVILLE
Seguin Beauty School,Branch campus,214 W SAN ANTONIO,NEW BRAUNFELS
ITT Technical Institute-Norfolk,Main Campus,863 GLENROCK RD STE 100,NORFOLK
Pima Medical Institute,Seattle Campus,9709 Third Ave NE Suite 400,SEATTLE
Mineral County Vocational Technical Center,Mineral County Vocational Technical Center,Harley O Staggers Dr.,Keyser
Hypnosis Motivation Institute,Hypnosis Motivation Institute,18607 VENTURA BLVD STE 310,TARZANA
Los Angeles ORT Technical Institute,Main Campus,6435 WILSHIRE BLVD,LOS ANGELES
Martinez Adult Education,Main Campus,600 F ST,MARTINEZ
Everest College-West Los Angeles,EVEREST COLLEGE-WEST LOS ANGELES,3000 S ROBERTSON BLVD,STE. 300
Thanh Le College School of Cosmetology,Main Campus,12875 CHAPMAN AVE,GARDEN GROVE
Southeastern Technical College,Main Campus,3001 E FIRST ST,VIDALIA
Massachusetts School of Law,Main Campus,500 FEDERAL ST WOODLAND PARK,ANDOVER
Dahls College of Beauty,Main Campus,716 CENTRAL AVE,GREAT FALLS
ITT Technical Institute-Albuquerque,Main Campus,5100 MASTHEAD STREET NE,ALBUQUERQUE
Community Services Division-Alliance City,Main Campus,200 GLAMORGAN,ALLIANCE
Harrisburg Area Community College-Lancaster,Lancaster Campus,1641 Old Philadelphia Pike,LANCASTER
Harrisburg Area Community College-Lebanon,LEBANON CAMPUS,735 CUMBERLAND ST,LEBANON
Universal Technical Institute-Automotive Motorcycle & Marine Mechanics,Universal Technical Institute-Motorcycle/Marine Mechanics Institute Divisio,9751 DELEGATES DR,ORLANDO
D G Erwin Technical Center,Main Campus,2010 E HILLSBOROUGH AVE,TAMPA
Rosel School of Cosmetology,Main Campus,2444 W DEVON,CHICAGO
Worsham College of Mortuary Science,Main Campus,495 NORTHGATE PKY,WHEELING
Bryan College,Main Campus,237 S. Florence Ave.,SPRINGFIELD
Toledo Academy of Beauty Culture-North,Main Campus,5020 LEWIS AVE,TOLEDO
Oregon College of Oriental Medicine,Main Campus,10525 SE CHERRY BLOSSOM DR,PORTLAND
Central Pennsylvania Institute of Science and Technology,Main Campus,540 N HARRISON RD,PLEASANT GAP
Northwest Educational Center,Main Campus,2910 ANTOINE B-100,HOUSTON
Sebring Career Schools,Main Campus,6672 HWY 06 S,HOUSTON
PCI Health Training Center,Main Campus,8101 JOHN CARPENTER FWY,DALLAS
Windham Memorial Hospital-Radiologic Technology Program,Main Campus,112 MANSFIELD AVE,WILLIMANTIC
Bethel Seminary of the East,BSOE Corporate Office,1605 N LIMEKILN PKE,DRESHER
Academy of Court Reporting-Akron,Akron Branch,2930 W MARKET,AKRON
Academy of Court Reporting-Columbus,Branch Campus,150 East Gay St,COLUMBUS
Bryant and Stratton College-Eastlake Campus,Eastlake Campus,35350 Curtis Blvd.,Eastlake
Hamrick School,Main Campus,1156 MEDINA RD,MEDINA
Alabama State College of Barber Styling,Alabama state College of barber styling,9480 PARKWAY E,BIRMINGHAM
Fortis College,Main Campus,3590 PLEASANT VALLEY RD,MOBILE
Capps College,CAPPS COLLEGE,3736 Atlanta Highway,Montgomery
Capps College,CAPPS MEDICAL INSTITUTE,4081 E. Olive Rd.,Suite B
Arkansas Beauty School,Arkansas Beauty School-Conway,1061 Markham St.,CONWAY
Everest College-Ontario,Main Campus,1460 S. Milliken Ave,ONTARIO
Downey Adult School,Main Campus,12340 Woodruff Ave,Downey
Heald College-Stockton,Main Campus,1605 E MARCH LN,STOCKTON
Heald College-Hayward,Heald College,25500 INDUSTRIAL BLVD.,HAYWARD
John Wesley International Barber & Beauty College,John Wesley Intl. Barber & Beauty College,11883 VALLEY VIEW ST,GARDEN GROVE
Modern Technology School,Main Campus,16560 Harbor Blvd.,Units K-Q
National Career Education,National Career Education,6060 SUNRISE VISTA DR STE 2500,CITRUS HEIGHTS
Everest College-Anaheim,Main Campus,511 North Brookhurst St.,Suite 300
Thuy Princess Beauty College,Main Campus,252 E Second St,Pomona
North-West College-Glendale,Main Campus,221 North Brand Blvd.,GLENDALE
Everest College-City of Industry,Everest College - City of Industry,12801 Crossroads Parkway South,City of Industry
Fremont College,FREMONT COLLEGE,18000 Studebaker Rd.,STE 900A
Pomona Unified School District Adult and Career Education,Pomona Adult and Career Education,1515 W MISSION BLVD,POMONA
University of Phoenix-Online Campus,Main Online Campus,3157 E. Elwood Street,PHOENIX
University of Phoenix-San Diego Campus,University of Phoenix-Kearny Mesa Learning Center,3890 Murphy Canyon Road,San Diego
University of Phoenix-San Diego Campus,University of Phoenix-South County Learning Center,2060 Otay Lakes Road Suite 100,Chula Vista
University of Phoenix-San Diego Campus,University of Phoenix-Rancho Bernardo Center,16870 West Bernardo Drive,Ste. 200
University of Phoenix-San Diego Campus,University of Phoenix-San Marcos Learning Center,277 Rancheros Drive,Ste. 200
University of Phoenix-San Diego Campus,University of Phoenix-Oceanside Learning Center,2204 El Camino Real,Ste. 200
Universal College of Beauty Inc,Main Campus,3419 W 43RD PL,LOS ANGELES
Institute of Business and Medical Careers,Main Campus,3842 South Mason Street,FT COLLINS
Institute of Business and Medical Careers,Cheyenne Campus,3425 Dell Range Boulevard,Cheyenne
Institute of Business and Medical Careers,Greeley Campus,5400 West 11th Street,Suite D
Xenon International Academy,Xenon International Academy,2231 S PEORIA,AURORA
Academy of Cosmetology,Academy of Cosmetology,2088 N. COURTENAY PARKWAY,MERRITT ISLAND
Career Training Institute,Main Campus,3318 Edgewater Drive,Orlando
Everest Institute-Fort Lauderdale,Everest Fort Lauderdale,1040 BAYVIEW DR,FT LAUDERDALE
ITT Technical Institute-Lake Mary,Main Campus,1400 INTERNATIONAL PARKWAY SOUTH,LAKE MARY
Sunstate Academy,Main Campus,2525 Drew St,CLEARWATER
Heritage Institute-Jacksonville,Main Campus,4130 Salibury Rd N,Suite 1100
Medix School,Medix School,2108 Cobb Parkway,Smyrna
Remington College-Honolulu Campus,REMINGTON COLLEGE - HONOLULU CAMPUS,1111 BISHOP ST STE 400,HONOLULU
Vatterott College,Main Campus-Des Moines,7000 Fleur Drive,DES MOINES
Brown Mackie College-Moline,Brown Mackie College - Moline,1527 47TH AVE,MOLINE
Environmental Technical Institute,BRANCH CAMPUS,13010 S DIVISION ST,BLUE ISLAND
Pivot Point Beauty School,Branch Campus,144C East Lake Street,Bloomingdale
Xenon International Academy,Main Campus,1215 E. Santa Fe,OLATHE
Baton Rouge College,Baton Rouge College,2834 S SHERWOOD FOREST STE B12,BATON ROUGE
Diesel Driving Academy-Baton Rouge,Main Campus,8067 Airline Highway,Baton Rouge
Diesel Driving Academy-Baton Rouge,Diesel Driving Academy-Lafayette,3225 A Highway 90 East,Broussard
Diesel Driving Academy-Baton Rouge,Diesel Driving Academy-Little Rock,# 1 Harold Ives Drive,Little Rock
Jonesville Beauty School,JONESVILLE BEAUTY SCHOOL,208 WESTSIDE DRIVE,VIDALIA
New England Hair Academy,Main Campus,492-500 MAIN ST,MALDEN
Rob Roy Academy,Main Campus,150 PLEASANT ST,WORCESTER
Upper Cape Cod Regional Technical School,Upper Cape Cod Regional Technical School,220 SANDWICH RD,BOURNE
All-State Career School,All State Career School,2200 BROENING HWY STE 160,BALTIMORE
New England School of Communications,Main Campus,1 COLLEGE CIRCLE,BANGOR
Everest Institute-Kalamazoo,Main Campus,5177 W MAIN,KALAMAZOO
Adler Graduate School,Main Campus,1550 East 78th Street,RICHFIELD
Lebanon Technology and Career Center,Main Campus,757 BRICE ST,LEBANON
Final Touch Beauty School,Main Campus,5700 North Hills Street,MERIDIAN
Academy of Hair Design Three,Main Campus,1815 Terry Rd,Jackson
Mitchells Hairstyling Academy,Main Campus,1021 N SPENCE AVE,GOLDSBORO
Lincoln Technical Institute,Branch Campus,1000 HOWARD BLVD,MT LAUREL
Monmouth County Vocational School District,Main Campus,105 Neptune Blvd.,Neptune
Kaplan College-Las Vegas Campus,Main Campus,3315 SPRING MOUNTAIN RD,LAS VEGAS
Beauty School of Middletown,Main Campus,225 DOLSON AVE,MIDDLETOWN
Bryant and Stratton College-Southtowns,Bryant & Stratton College,Southtowns Campus,Sterling Park
Continental School of Beauty Culture,Main Campus,517 N Barry ST,OLEAN
National Tractor Trailer School Inc,BranchCampus,175 KATHERINE ST,BUFFALO
Yeshiva Gedolah Imrei Yosef D'spinka,Main Campus,1466 56TH ST,BROOKLYN
Cleveland Institute of Dental-Medical Assistants,Branch Campus,5733 HOPKINS RD,MENTOR
Cleveland Institute of Dental-Medical Assistants,Branch Campus,5564 MAYFIELD RD,LYNDHURST
Knox County Career Center,Main Campus,306 MARTINSBURG RD,MT VERNON
Madison Adult Career Center,Main Campus,600 ESLEY LN,MANSFIELD
Remington College-Cleveland Campus,Remington College-Cleveland Campus,14445 Broadway Ave,Cleveland
Brown Mackie College-Findlay,Brown Mackie College - Findlay,1700 Fostoria Avenue,Suite 100
Toledo Academy of Beauty Culture-East,Main Campus,3341 NAVARRE AVE,OREGON
Toledo Academy of Beauty Culture-South,Main Campus,1554 S BYRNE RD GLENBYRNE CTR,TOLEDO
US Grant Joint Vocational School,Main Campus,718 West Plane Street,BETHEL
CC's Cosmetology College,Main Campus,11630 E 21 Street,TULSA
CC's Cosmetology College,CC'S COSMETOLOGY COLLEGE,4439 NW 50TH,OKLAHOMA CITY
CC's Cosmetology College,West Campus,5610-D W. Skelly Dr.,Tulsa
Chisholm Trail Technology Center,Main Campus,STATE HIGHWAY 33,OMEGA
Gordon Cooper Technology Center,GORDON COOPER TECHNOLOGY CENTER,1 JOHN C BRUTON BLVD,SHAWNEE
Kiamichi Technology Center-Atoka,Kiamichi Technology Center - Atoka Campus,PO Box 240,ATOKA
Kiamichi Technology Center-Durant,Kiamichi Technology Center-Durant,810 WALDRON RD,DURANT
Kiamichi Technology Center-Hugo,Main Campus,107 S 15TH,HUGO
Kiamichi Technology Center-McAlester,McAlester Campus,301 KIAMICHI DR,MCALESTER
Kiamichi Technology Center-Idabel,Main Campus,3205 Lincoln Road NE,IDABEL
Kiamichi Technology Center-Poteau,Poteau Campus,1509 S MCKENNA,POTEAU
Kiamichi Technology Center-Spiro,Kiamichi Technology Center,610 SW 3RD,SPIRO
Kiamichi Technology Center-Talihina,Talihina Campus,13739 SE 202 RD,TALIHINA
4-States Okmulgee Academy of Cosmetology,4-States Okmulgee Academy of Cosmetology,308 E 6th St,Okmulgee
Western Culinary Institute,Main Campus,600 SW 10th Avenue. #400,PORTLAND
YTI Career Institute,YTI Altoona Campus,2900 FAIRWAY DR,ALTOONA
DPT Business School,Main Campus,11000 Roosevelt Blvd.,Suite 200
DPT Business School,Center City Branch,111 S. Independence Mall East,Suite 850
DPT Business School,Denver Branch,405 S. Platte River Drive,Suite 3A
Eastern Center for Arts and Technology,Main Campus,3075 TERWOOD RD,WILLOW GROVE
Empire Beauty School-Philadelphia Chestnut St,MAIN CAMPUS,1522 CHESTNUT ST,PHILADELPHIA
Oakbridge Academy of Arts,Main Campus,1250 GREENSBURG RD,LOWER BURRELL
Sanford-Brown Institute Monroeville Campus,Branch Campus,Penn Center East 777 Penn Center Boulevard Building 7,Monroeville
Centro de Estudios Multidisciplinarios,Branch Campus,6 DR VIDAL ST,HUMACAO
Colegio Mayor de Tecnologia Inc,COLEGIO MAYOR DE TECNOLOGIA,INC.,151
Institucion Chaviano de Mayaguez,INSTITUCION CHAVIANO DE MAYAGUEZ,CALLE RAMOS ANTONINI 116 ESTE,MAYAGUEZ
EDIC College,EDIC COLLEGE,CALLE GENOVA NUM 8 ESQ 5 URB CAGUAS NORTE,CAGUAS
Liceo de Arte-Dise-O y Comercio,LICEO DE ARTE,DISENO Y COMERCIO,42
Instituto Merlix,Main Campus,20 BETANCES STREET,BAYAMON
Universal Technology College of Puerto Rico,UNIVERSAL TECHNOLOGY COLLEGE OF PR,INC.,111 COMERCIO ST
Universal Technology College of Puerto Rico,UNIVERSAL TECHNOLOGY COLLEGE OF PUERTO RICO-CAMUY,167 MUNOZ RIVERA AVE SUITE 2,CAMUY
Academy of Hair Technology,Main Campus,3715 E NORTH ST STE F,GREENVILLE
Mr Waynes School of Unisex Hair Design,Main Campus,170 S WILLOW AVE,COOKEVILLE
Southern Institute of Cosmetology,MAIN,3099 S PERKINS,MEMPHIS
Queen City College,Main Campus,1594J FT CAMPBELL BLVD,CLARKSVILLE
College of the Marshall Islands,CMI Majuro Campus,PO BOX 1258,Majuro
Aims Academy,Main Campus,1711 S. Interstate 35E,Carrollton
Central Texas Commercial College,CENTRAL TEXAS COMMERCIAL COLLEGE,9400 N CENTRAL EXPY STE 200,DALLAS
Royal Beauty Careers,Royal Beauty Careers,6685 Peachtree Industrial Blvd.,Atlanta
ITT Technical Institute-San Antonio,Main Campus,5700 NORTHWEST PKWY,SAN ANTONIO
Remington College-Fort Worth Campus,Remington College - Fort Worth Campus,300 E. Loop 820,Fort Worth
San Antonio Beauty College 4,San Antonio Beauty College 4,2423 JAMAR STE 2,SAN ANTONIO
School of Automotive Machinists,Main Campus,1911 ANTOINE,HOUSTON
SW School of Business and Technical Careers-Cosmetology,S.W.School of Business & Technical carees,Inc.,2402 SAN PEDRO AVE.
SW School of Business and Technical Careers,Main Campus,272 COMMERICAL ST,EAGLE PASS
SW School of Business and Technical Careers,SW SCHOOL OF BUSINESS AND TECH CAREERS-DEL RIO,801 S MAIN,DEL RIO
Texas College of Cosmetology,Main Campus,117 SAYLES BLVD.,ABILENE
Vista College,Vista College,775 South  2000 East,Clearfield
Colonial Heights Beauty Academy,Main Campus,3233-B BOULEVARD,COLONIAL HEIGHTS
Heritage Institute,Main Campus,8255 Shoppers Square,Manassas
Centura College,Main Campus,616 Denbigh Blvd.,Newport News
Centura College,CENTURA COLLEGE - NORFOLK CAMPUS,7020 NORTH MILITARY HIGHWAY,NORFOLK
Virginia Beach City Public Schools School of Practical Nursing,Main Campus,2925 N LANDING RD,VIRGINIA BEACH
Northwest College of Art,Main Campus,16301 Creative Dr. NE,Poulsbo
University of Washington-Bothell Campus,Bothell Campus,18115 Campus Way NE,BOTHELL
University of Washington-Tacoma Campus,Main Campus,1900 COMMERCE ST,TACOMA
Aurora St. Luke's Medical Center-School of Diagnostic Medical Sonography,AHC - Airport,180 West Grange Avenue,Milwaukee
Huntington School of Beauty Culture-Main Campus,Main Campus,5636 UR RT 60 East  Suite 2,HUNTINGTON
Valley College,Main Campus,713 South Oakwood Avenue,BECKLEY
Valley College,Main Campus,287 Aikens Center,Martinsburg
Valley College,Main Campus,616 HARRISON ST,PRINCETON
Academy of Hair Design-Poway,Main Campus,13266 POWAY RD,POWAY
Adelante Career Institute,Main Campus,14547 TITUS,VAN NUYS
Central Coast College,Main Campus,480 S MAIN,SALINAS
ITT Technical Institute-Torrance,Main Campus,20050 S VERMONT AVE,TORRANCE
Pacific College of Oriental Medicine,Pacific College of Oriental Medicine,7445 Mission Valley Road Ste 105,San Diego
Artistic Nails and Beauty Academy,Main Campus,4951-A Adamo Drive Suite 120,Tampa
National Aviation Academy A & P School,Main Campus,6225 Ulmerton Road,Clearwater
Sanford-Brown Institute,Branch Campus,5701 E. Hillsborough Ave. Suite 1417,TAMPA
Cain's Barber College Inc,Main Campus,365 E 51ST ST,CHICAGO
Lawton School,Main Campus,20755 Greenfield suite 300,Southfield
Madison Oneida BOCES - Practical Nursing Program,Main Campus,4937 SPRING RD,VERONA
New Wave Hair Academy,Main Campus,804 S HIGHLAND,MEMPHIS
Center for Advanced Legal Studies,Main Campus,3910 KIRBY,SUITE 200
Houston Training School,Main Campus,701 SHOTWELL,HOUSTON
Remington College-Houston Campus,Remington College - Houston Campus,3110 Hayes Rd,Ste 380
Bay Mills Community College,Bay Mills Community College Main Campus,12214 W LAKESHORE DR,BRIMLEY
Fond du Lac Tribal and Community College,Main Campus,2101 14TH ST,CLOQUET
Northwest Indian College,Main Campus,2522 KWINA RD,BELLINGHAM
Bon Losee Academy of Hair Artistry,Marinello School of Beauty-Provo,2230 N UNIVERSITY PKWY,PROVO
Fran Brown College of Beauty,Main Campus,587 N. Main,Layton
Provo College,Provo College,1450 W 820 N,PROVO
Staceys Hands of Champions,Main Campus,3721 S 250 W,OGDEN
Paul Mitchell the School-Provo,Paul Mitchell the School,Provo Campus,480 N 900 E
University of Phoenix-Utah Campus,Main Campus,5373 GREEN ST,SALT LAKE CITY
University of Phoenix-Utah Campus,Provo Learning Center,511 East 1860 South,Provo
University of Phoenix-Utah Campus,North Davis Learning Center,1366 Ledgend Hills Drive,Clearfield Drive
University of Phoenix-Utah Campus,Taylorsville Learning Center,4393 River Boat Road,Taylorsville
Utah College of Massage Therapy Inc,Main Campus,25 S 300 E,SALT LAKE CITY
Utah College of Massage Therapy Inc,NEVADA CAMPUS OF MASSAGE THERAPY,2381  EAST  WINDMILL LANE,SUITE 14-16
Utah College of Massage Therapy Inc,ARIZONA SCHOOL OF MASSAGE THERAPY- TEMPE,1409 WEST SOUTHERN AVENUE  SUITE # 6,TEMPE
Utah College of Massage Therapy Inc,ARIZONA SCHOOL OF MASSAGE THERAPY - PHOENIX,10000 N. 31 Ave. Bldg. D,#100
Utah College of Massage Therapy Inc,DENVER SCHOOL OF MASSAGE THERAPY- WESTMINSTER,8991 HARLAN STREET SUITE B,WESTMINSTER
Utah College of Massage Therapy Inc,DENVER SCHOOL OF MASSAGE THERAPY-AURORA,14107 EAST EXPOSITION AVE SUITE A,AURORA
CET-Coachella,CET COACHELLA,49-111 Highway 111,Ste. 5
CET-Oxnard,Main Campus,761 SOUTH C ST,OXNARD
CET-Santa Maria,Main Campus,509 W MORRISON AVE,SANTA MARIA
CET-Rancho Temecula,Main Campus,42066 AVENIDA ALVARADO Suite A,TEMECULA
Colorado School of Traditional Chinese Medicine,Main Campus,1441 YORK ST STE 202,DENVER
Massage Therapy Institute of Colorado,Main Campus,1441 York St Ste 301,Denver
Michigan College of Beauty,Main Campus,3498 ROCHESTER RD,TROY
Ogle School of Hair Design,Ogle School Hair Skin Nails,6333 E MOCKINGBIRD LN STE 201,DALLAS
Phoenix Seminary,Main Campus,4222 E Thomas Rd Ste 400,Phoenix
Faust Institute of Cosmetology,Branch Campus,1543 18th ST,SPIRIT LAKE
Seattle Vocational Institute,Seattle Vocational Institute,2120 S JACKSON,SEATTLE
Baker College of Port Huron,BAKER COLLEGE OF PORT HURON,3403 LAPEER ROAD,PORT HURON
Blaine the Beauty Career School-Hyannis,MAIN CAMPUS,259 NORTH STREET,HYANNIS
Brookstone College,Brookstone College of Business - Greensboro,424 Gallimore Dairy Road,GREENSBORO
Cheeks International Academy of Beauty Culture,BRANCH CAMPUS,2925 S. College AVE #9,FT COLLINS
Cheeks International Academy of Beauty Culture,BRANCH CAMPUS,2547B 11TH AVE,GREELEY
Colorado School of Healing Arts,Main Campus,7655 W MISSISSIPPI STE 100,LAKEWOOD
Remington College-Colorado Springs Campus,Remington College-Colorado Springs Campus,6050 ERIN PARK DRIVE,COLORADO SPRINGS
Artistic Beauty Colleges-Arvada,Main Campus,6520 Wadsworth Blvd.  #209,Arvada
Westwood College-Denver South,Denver South,3150 S SHERIDAN,DENVER
